x,y
0.0,0.0
0.0,0.0
5.4682498866319655e-05,0.0
0.00043485983810946367,0.0
0.0013437847332726702,1.5238390360073463e-08
0.0027563152322921157,1.450102464261313e-07
0.006997545822675446,1.0827801597071914e-06
0.00978171484191917,1.8393577838741803e-06
0.012980321699791216,2.089982598907746e-06
0.01657365979459114,1.9775841538360625e-06
0.020542959500508804,8.832218345048421e-07
0.024870343770098474,-8.895096561452052e-07
0.029538785104478653,-4.159200060796709e-06
0.0345320662957859,-8.435374354549672e-06
0.0398343886051388,-6.541284873860428e-05
0.04543043455640304,-0.00018533853017897148
0.05130685951531158,-0.00032235154478582064
0.06384317110167582,-0.0007887446543748033
0.07047534739735746,-0.0011579025317705826
0.07733651209535537,-0.001568490556816702
0.08441478268860186,-0.002032000285291413
0.08441478268860186,-0.002032000285291413
0.10685768760071726,-0.003606324949952045
0.10685768760071726,-0.003606324949952045
0.1227323899828002,-0.004802877866116439
0.13092278249940564,-0.0053745274346148585
0.1477641103298369,-0.006552533796446167
0.15639935710650588,-0.007174736026085498
0.174074021025302,-0.008358084914051973
0.1830995530536438,-0.00893769749253417
0.19224400919610848,-0.009486114267869905
0.2108681712495434,-0.010470688986558433
0.22033555522210213,-0.01093891394087313
0.22989736430280305,-0.01144219563170945
0.23954708875845854,-0.012012762484546097
0.24928252020972602,-0.012610497998426555
0.26898372186088215,-0.014032446615849825
0.278942652048842,-0.014834833462071602
0.28896856629499446,-0.01569732919017945
0.29906070991316924,-0.016586974626836826
0.30921375998050743,-0.017525783293836777
0.31942713812780954,-0.018485294713440657
0.3296954617300097,-0.019490315783450698
0.3400184596222298,-0.02051392652125174
0.35039080019814084,-0.0215819489965475
0.36081256296423647,-0.022667960328244686
0.37127849552685904,-0.02379816525745555
0.38178903221310934,-0.02494627517330778
0.3923389964244749,-0.026138649501539556
0.402929167046783,-0.027349010290090757
0.41355442916151797,-0.028603786866137553
0.43490848393084675,-0.03119413344322775
0.44563655574503025,-0.0325061145308043
0.4564020470731441,-0.0337825698825812
0.46719827965470945,-0.035065960930567054
0.4780256968160296,-0.03633980490783319
0.488878996328862,-0.03763682333282529
0.49975950716584655,-0.038934331029863885
0.5106624536647817,-0.04026123575424841
0.5215896222817636,-0.04159244008278883
0.543505025881672,-0.044324084439249414
0.5544908738182901,-0.04572540396778692
0.5654993260371639,-0.04710909013518284
0.5765331075984395,-0.04844471764928827
0.5875860365724888,-0.049774793724732376
0.5986592052487244,-0.051082632731821016
0.6208539169580376,-0.05370746376492269
0.6319702717263124,-0.05505467680046717
0.6430920288316837,-0.05647489696853271
0.6542235419791772,-0.05792654399192711
0.665361751717236,-0.05942689699935437
0.6765103142511536,-0.060943373250214976
0.6988305202716327,-0.06406457088363221
0.7099979655372723,-0.06568940913960795
0.7211624556936844,-0.06740317698755456
0.732329658668489,-0.06916290739254201
0.7434962616711251,-0.07098493051966567
0.7658376034421428,-0.07473912007897272
0.7770165390286358,-0.07664080699551268
0.7882088662952338,-0.07850893117992741
0.7994072830866727,-0.08038472478477626
0.8106143377067221,-0.08225080437787906
0.833040612460985,-0.08602816544284592
0.8442540283433546,-0.08796926523698523
0.8554582575040035,-0.08999499773774837
0.8666600966959195,-0.09206403646185149
0.9002661765162163,-0.09843138992291486
0.9114792831134572,-0.10054498860036065
0.9339408817455509,-0.10464981268717123
0.9451808525147503,-0.10668490553696043
0.9676482710447482,-0.11088310101197184
0.9788775437678785,-0.11303302858959413
0.9901124479858511,-0.11517037551614867
1.0013589606126905,-0.11726237029922529
1.0126092494547037,-0.1193498324270689
1.035124352395079,-0.12349068739103672
1.0463871880087547,-0.12555334883557276
1.0576450447639971,-0.12765587977785456
1.068891520259419,-0.1298304004462914
1.0801342051681213,-0.13203567235637162
1.1026035500021694,-0.1365578654593973
1.1138317125260822,-0.138865201379654
1.1250645879280297,-0.1411583342961264
1.1363085488238245,-0.1434050947565744
1.1475552090921592,-0.14564655601358148
1.170060179946903,-0.15009394232852477
1.181321105951515,-0.15228552569060735
1.1925959178327794,-0.15441166852397006
1.2038761251069414,-0.15651591238768903
1.2151645307817405,-0.15858238155577023
1.2377512152866472,-0.16267986813639262
1.2490437657897138,-0.1647417765593549
1.2603263868440395,-0.16686269542969814
1.2828809308871518,-0.17117575433909255
1.2941555687766584,-0.17335295827155814
1.3054212961619012,-0.1755798979013437
1.316672099256713,-0.17788492783275636
1.327916525092236,-0.18022453185836684
1.3503877368104817,-0.18499770848115535
1.3616337973243953,-0.18733930459473694
1.3728809810371336,-0.18967849736438372
1.3953834891904826,-0.19432597830837825
1.406641888504558,-0.196618797650986
1.4179138462787328,-0.1988465911847985
1.4291905679459942,-0.20105265929230826
1.4517608316842732,-0.20538501755464697
1.4630565920831884,-0.20749837832919682
1.4743672152556946,-0.20953292835840073
1.4856844630072246,-0.21153249573913158
1.4970109215933298,-0.21348130141970223
1.5083406707846698,-0.21541291378645344
1.531012140271674,-0.21921096046063349
1.5423392412112578,-0.22116344875893706
1.553665703378935,-0.22312130057236113
1.576313131918845,-0.2270731937401758
1.587635707799339,-0.22905778051145748
1.5989653533156856,-0.23100286586906746
1.610307333617496,-0.2328760405832414
1.6216545415461365,-0.2347186260106766
1.644367383478468,-0.2382922048489062
1.6557348930109421,-0.24000872478674223
1.6671159881073148,-0.2416339825598627
1.6899006319762189,-0.24472625626503985
1.7012982458018058,-0.24623501281388463
1.7126920225127518,-0.24777351368884096
1.7354782231975356,-0.25086324746688504
1.7468611024429292,-0.2524830827109112
1.7582422668418964,-0.2541157902347583
